Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: KATE , with_vote: 100, new_vote : 404.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 600.0 , Contestant_Updated: SHOE , with_vote: 1000, new_vote : 1178.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: OLOBO , with_vote: 200, new_vote : 1062.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: AKO , with_vote: 100, new_vote : 706.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 300 , Contestant_Updated: SHOE , with_vote: 500, new_vote : 1717.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: BB , with_vote: 200, new_vote : 952.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: SUZZY , with_vote: 200, new_vote : 1825.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 300 , Contestant_Updated: MERCY , with_vote: 500, new_vote : 1252.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: SUZZY , with_vote: 200, new_vote : 2027.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_Updated: GAZA , with_vote: 20, new_vote : 1782.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: AMA BA , with_vote: 200, new_vote : 876.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: MAAME , with_vote: 100, new_vote : 1162.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: DEDE , with_vote: 100, new_vote : 848.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 6 , Contestant_Updated: GAZA , with_vote: 10, new_vote : 1892.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 30 , Contestant_Updated: AKO , with_vote: 50, new_vote : 762.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: KASI , with_vote: 200, new_vote : 492.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: OLOBO , with_vote: 200, new_vote : 1288.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 30 , Contestant_Updated: OLOBO , with_vote: 50, new_vote : 1338.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: OLOBO , with_vote: 200, new_vote : 1538.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 30 , Contestant_Updated: OLOBO , with_vote: 50, new_vote : 1588.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 300 , Contestant_Updated: DEDE , with_vote: 500, new_vote : 1352.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: BB , with_vote: 200, new_vote : 1158.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_Updated: DEDE , with_vote: 20, new_vote : 1372.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: KASI , with_vote: 100, new_vote : 596.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: KASI , with_vote: 200, new_vote : 796.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: SITA , with_vote: 100, new_vote : 832.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: SITA , with_vote: 200, new_vote : 1045.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_Updated: ETORNAM , with_vote: 20, new_vote : 1329.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: KASI , with_vote: 200, new_vote : 998.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: AKO , with_vote: 200, new_vote : 1042.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 1.2 , Contestant_Updated: DEDE , with_vote: 2, new_vote : 1435.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 12 , Contestant_Updated: KASI , with_vote: 20, new_vote : 1019.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: KASI , with_vote: 200, new_vote : 1219.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: KASI , with_vote: 200, new_vote : 1419.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 6 , Contestant_Updated: FELICIA , with_vote: 10, new_vote : 1115.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: KASI , with_vote: 200, new_vote : 1619.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: ETORNAM , with_vote: 100, new_vote : 1470.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: SITA , with_vote: 100, new_vote : 1181.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 30 , Contestant_Updated: KASI , with_vote: 50, new_vote : 1669.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: MERCY , with_vote: 100, new_vote : 1464.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 30 , Contestant_Updated: ETORNAM , with_vote: 50, new_vote : 1530.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 60 , Contestant_Updated: DEDE , with_vote: 100, new_vote : 1577.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 30 , Contestant_Updated: DEDE , with_vote: 50, new_vote : 1628.<br/>
Description: The Tigo Cash payment has been approved and processed successfully., Amount_Billed: 1.2 , Contestant_Updated: KASI , with_vote: 2, new_vote : 1675.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: ANITA , with_vote: 200, new_vote : 1565.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 300 , Contestant_Updated: MD , with_vote: 500, new_vote : 2125.<br/>
Description: The MTN Mobile Money payment has been approved and processed successfully., Amount_Billed: 120 , Contestant_Updated: BB , with_vote: 200, new_vote : 1374.<br/>
